DR1ILINE,DR1DRSTZ,DRABF,DR1DAY,DR1LANG,DR1CCMTX,DR1_030Z,DR1FS,DR1_040Z,DR1IGRMS
17,1,2,2,1,5.40E-79,6,1,1,30
18,1,2,2,1,5.40E-79,6,1,1,12
1,1,2,6,1,2,1,1,1,360
2,1,2,6,1,2,1,1,1,8
3,1,2,6,1,5.40E-79,1,1,1,24
4,1,2,6,1,5.40E-79,1,1,1,165
5,1,2,6,1,1,1,1,1,210
6,1,2,6,1,1,1,1,1,10.42
7,1,2,6,1,1,1,1,1,5.88
8,1,2,6,1,5,2,1,1,56
9,1,2,6,1,5,2,1,1,56
10,1,2,6,1,5,2,1,1,14
12,1,2,6,1,5.40E-79,2,1,1,315
13,1,2,6,1,5.40E-79,2,27,1,75
14,1,2,6,1,5.40E-79,2,27,1,19
15,1,2,6,1,5.40E-79,3,3,1,245
16,1,2,6,1,5.40E-79,3,1,1,525
17,1,2,6,1,5.40E-79,3,1,1,245
1,1,2,1,1,5.40E-79,1,1,1,1080
2,1,2,1,1,5.40E-79,1,1,1,30
3,1,2,1,1,5,3,1,1,85
4,1,2,1,1,5,3,1,1,2.83
5,1,2,1,1,90,3,1,1,210
6,1,2,1,1,90,3,1,1,93.75
7,1,2,1,1,5.40E-79,3,1,1,366
8,1,2,1,1,5.40E-79,6,1,1,110
9,1,2,1,1,5.40E-79,6,1,1,72
1,1,2,6,1,5.40E-79,1,1,1,18.33
2,1,2,6,1,1,1,1,1,360
3,1,2,6,1,1,1,1,1,8.33
4,1,2,6,1,1,1,1,1,15.75
5,1,2,6,1,5.40E-79,1,27,1,306
6,1,2,6,1,5.40E-79,1,,1,225
7,1,2,6,1,90,2,1,1,324
8,1,2,6,1,90,2,1,1,5.33
9,1,2,6,1,5.40E-79,2,1,1,158
10,1,2,6,1,5.40E-79,6,1,1,218
11,1,2,6,1,5.40E-79,6,1,1,218
12,1,2,6,1,5.40E-79,3,1,1,32.81
13,1,2,6,1,5.40E-79,3,1,1,32.5
14,1,2,6,1,90,3,1,1,324
15,1,2,6,1,90,3,1,1,5.33
16,1,2,6,1,5.40E-79,3,1,1,158
17,1,2,6,1,5.40E-79,3,,1,330
18,1,2,6,1,5.40E-79,7,1,1,281.36
1,1,2,4,1,5,2,6,2,104
2,1,2,4,1,5,2,6,2,112
3,1,2,4,1,5,2,6,2,28
5,1,2,4,1,5.40E-79,2,10,2,153
6,1,2,4,1,5.40E-79,2,10,2,93.75
7,1,2,4,1,5.40E-79,2,10,2,28
8,1,2,4,1,5.40E-79,2,10,2,30
9,1,2,4,1,5.40E-79,2,,2,390
10,1,2,4,1,5.40E-79,6,14,2,744
11,1,2,4,1,5.40E-79,3,10,2,192
12,1,2,4,1,4,3,10,2,35
13,1,2,4,1,4,3,10,2,100
14,1,2,4,1,4,3,10,2,76.56
15,1,2,4,1,4,3,10,2,250
16,1,2,4,1,4,3,10,2,100
17,1,2,4,1,4,3,10,2,60
18,1,2,4,1,5.40E-79,3,,2,195
19,1,2,4,1,5.40E-79,6,10,2,232
1,1,2,1,1,5.40E-79,7,16,2,720
2,1,2,1,1,5.40E-79,1,1,1,200
3,1,2,1,1,3,1,3,1,107.44
4,1,2,1,1,3,1,3,1,20
5,1,2,1,1,5.40E-79,1,1,1,325.5
6,1,2,1,1,5,2,3,1,52.5
7,1,2,1,1,5,2,3,1,21.26
9,1,2,1,1,5,2,3,1,4
10,1,2,1,1,5,2,3,1,10
11,1,2,1,1,5,2,3,1,11
12,1,2,1,1,5.40E-79,6,16,2,3
13,1,2,1,1,1,6,3,2,402.5
14,1,2,1,1,1,6,3,2,10.5
15,1,2,1,1,1,6,3,2,0.88
16,1,2,1,1,5.40E-79,3,1,1,69.75
17,1,2,1,1,12,3,16,1,101.25
18,1,2,1,1,12,3,16,1,56
19,1,2,1,1,5.40E-79,3,16,1,108.75
20,1,2,1,1,5.40E-79,3,1,1,720
21,1,2,1,1,5.40E-79,3,1,1,86.25
22,1,2,1,1,5.40E-79,3,1,1,174.46
23,1,2,1,1,5.40E-79,7,1,1,480
1,1,2,3,1,9,1,3,1,80
2,1,2,3,1,9,1,3,1,1.42
3,1,2,3,1,1,7,1,1,155
4,1,2,3,1,1,7,1,1,150
5,1,2,3,1,5.40E-79,1,1,1,120
6,1,2,3,1,5.40E-79,2,1,1,72
7,1,2,3,1,5.40E-79,2,16,1,15.71
8,1,2,3,1,5.40E-79,2,1,1,30
9,1,2,3,1,5.40E-79,6,1,1,48
10,1,2,3,1,1,6,1,1,46.5
11,1,2,3,1,1,6,1,1,45
12,1,2,3,1,5.40E-79,6,1,1,5
13,1,2,3,1,5.40E-79,3,3,2,110
14,1,2,3,1,1,3,1,2,155
15,1,2,3,1,1,3,1,2,150
16,1,2,3,1,5.40E-79,3,16,2,21
17,1,2,3,1,5.40E-79,3,1,1,62.5
18,1,2,3,1,5.40E-79,6,1,1,14.18
1,1,2,1,2,5.40E-79,11,1,1,110
2,1,2,1,2,5.40E-79,11,1,1,92.5
3,1,2,1,2,5.40E-79,11,1,1,54
4,1,2,1,2,5.40E-79,11,1,1,57
5,1,2,1,2,5.40E-79,11,1,1,360
6,1,2,1,2,5.40E-79,11,1,1,217
7,1,2,1,2,5.40E-79,17,1,1,253.5
8,1,2,1,2,5.40E-79,12,2,2,78
9,1,2,1,2,5.40E-79,12,2,2,250
10,1,2,1,2,5.40E-79,12,2,2,570.52
11,1,2,1,2,3,12,2,2,64.14
12,1,2,1,2,3,12,2,2,16.88
13,1,2,1,2,3,12,2,2,2.5
14,1,2,1,2,2,13,1,1,42.5
15,1,2,1,2,2,13,1,1,172.84
16,1,2,1,2,5.40E-79,13,1,1,360
17,1,2,1,2,5.40E-79,19,1,1,253.5
1,1,2,7,1,2,1,1,1,23.25
2,1,2,7,1,2,1,1,1,122.01
