DR1ILINE,DR1DRSTZ,DRABF,DR1DAY,DR1LANG,DR1CCMTX,DR1_030Z,DR1FS,DR1_040Z,DR1IGRMS
8,4,1,6,1,5.40E-79,3,27,1,85.45
9,4,1,6,1,5.40E-79,3,1,1,244
10,4,1,6,1,5.40E-79,3,3,1,27
11,4,1,6,1,5.40E-79,6,1,1,244
12,4,1,6,1,5.40E-79,8,,,
1,1,2,4,1,5.40E-79,7,1,1,720
2,1,2,4,1,5.40E-79,6,27,1,39.38
3,1,2,4,1,5.40E-79,6,27,1,248
4,1,2,4,1,5.40E-79,6,1,1,37.5
5,1,2,4,1,5.40E-79,6,1,1,150
6,1,2,4,1,5.40E-79,4,1,1,79
7,1,2,4,1,4,4,1,1,14
8,1,2,4,1,4,4,1,1,11.67
9,1,2,4,1,4,4,1,1,20
10,1,2,4,1,4,4,1,1,15
11,1,2,4,1,5.40E-79,4,1,1,375
12,1,2,4,1,90,4,1,1,65.7
13,1,2,4,1,90,4,1,1,53.47
14,1,2,4,1,90,4,1,1,62.53
15,1,2,4,1,90,4,1,1,72.5
16,1,2,4,1,5.40E-79,6,1,1,42
1,1,2,3,1,5.40E-79,2,3,1,276
2,1,2,3,1,5.40E-79,2,1,1,372
3,1,2,3,1,5.40E-79,7,1,1,1575
4,1,2,3,1,5.40E-79,4,3,1,270
5,1,2,3,1,5.40E-79,4,3,1,80
6,1,2,3,1,5.40E-79,4,3,1,471.5
7,1,2,3,1,5.40E-79,4,1,1,186
8,1,2,3,1,5.40E-79,6,1,1,47.25
9,1,2,3,1,5.40E-79,6,1,1,372
1,1,2,7,1,5.40E-79,1,1,1,20
2,1,2,7,1,5.40E-79,6,1,1,371.07
3,1,2,7,1,5.40E-79,5,28,1,253.5
4,1,2,7,1,5.40E-79,9,1,1,2415
5,1,2,7,1,5.40E-79,3,28,1,761.88
6,1,2,7,1,5.40E-79,6,1,1,54.69
7,1,2,7,1,5.40E-79,6,1,1,33.2
8,1,2,7,1,5.40E-79,6,1,2,48
1,1,2,1,1,5.40E-79,1,2,2,55
2,1,2,1,1,3,1,2,2,32
3,1,2,1,1,3,1,2,2,7
4,1,2,1,1,5.40E-79,1,2,2,32
5,1,2,1,1,1,1,2,2,135
6,1,2,1,1,1,1,2,2,30
7,1,2,1,1,12,2,16,1,120
8,1,2,1,1,12,2,16,1,42.53
9,1,2,1,1,5.40E-79,2,19,1,67.5
10,1,2,1,1,9,2,19,1,37.19
11,1,2,1,1,9,2,19,1,14.69
12,1,2,1,1,5.40E-79,2,16,1,333.5
13,1,2,1,1,5.40E-79,2,19,1,100
14,1,2,1,1,5.40E-79,6,1,1,3
15,1,2,1,1,5.40E-79,3,1,1,107.19
16,1,2,1,1,5.40E-79,3,16,1,333.5
17,1,2,1,1,5.40E-79,3,16,1,58
18,1,2,1,1,5.40E-79,6,16,1,135
1,1,2,5,1,5.40E-79,1,3,1,148
2,1,2,5,1,5.40E-79,1,3,1,449.5
3,1,2,5,1,5.40E-79,2,1,1,684.44
4,1,2,5,1,5.40E-79,2,1,1,116
5,1,2,5,1,5.40E-79,3,3,1,105
6,1,2,5,1,5.40E-79,3,1,1,57
7,1,2,5,1,5.40E-79,7,1,1,720
1,1,2,7,1,3,1,1,1,105
2,1,2,7,1,3,1,1,1,15
3,1,2,7,1,1,1,1,1,270
4,1,2,7,1,1,1,1,1,4.17
5,1,2,7,1,1,1,1,1,45.75
6,1,2,7,1,5,2,1,1,56
7,1,2,7,1,5,2,1,1,56
8,1,2,7,1,5,2,1,1,14
9,1,2,7,1,5,2,1,1,21
11,1,2,7,1,5.40E-79,2,1,1,507
12,1,2,7,1,5.40E-79,3,2,1,312
13,1,2,7,1,5.40E-79,3,1,1,524
14,1,2,7,1,5.40E-79,7,1,1,507
1,1,2,4,2,5.40E-79,19,1,1,507.23
2,1,2,4,2,5.40E-79,10,1,1,141
3,1,2,4,2,12,12,1,1,510
4,1,2,4,2,12,12,1,1,42
5,1,2,4,2,5.40E-79,15,1,1,67.5
6,1,2,4,2,5.40E-79,12,1,1,210
7,1,2,4,2,5.40E-79,12,1,1,122.25
8,1,2,4,2,5.40E-79,12,1,1,507.23
9,1,2,4,2,5.40E-79,15,1,1,524
10,1,2,4,2,11,15,1,1,84
11,1,2,4,2,11,15,1,1,138.75
12,1,2,4,2,11,15,1,1,60
13,1,2,4,2,11,15,1,1,67.5
14,1,2,4,2,5.40E-79,16,1,1,135.63
1,1,2,4,1,2,1,1,1,30
2,1,2,4,1,2,1,1,1,122.01
3,1,2,4,1,5.40E-79,7,,1,225
4,1,2,4,1,5.40E-79,6,1,1,18.75
5,1,2,4,1,5.40E-79,6,,1,120
6,1,2,4,1,5.40E-79,2,1,1,163.5
7,1,2,4,1,5.40E-79,2,1,1,38.75
8,1,2,4,1,5.40E-79,2,1,1,38.75
9,1,2,4,1,5.40E-79,2,1,1,155
10,1,2,4,1,5.40E-79,7,,1,120
11,1,2,4,1,5,3,3,1,260
12,1,2,4,1,5,3,3,1,17
13,1,2,4,1,5.40E-79,3,3,1,7
14,1,2,4,1,5.40E-79,3,,1,120
15,1,2,4,1,5.40E-79,6,1,1,12.5
16,1,2,4,1,5.40E-79,6,,1,120
1,1,2,5,1,1,1,3,2,360
2,1,2,5,1,1,1,3,2,10.5
3,1,2,5,1,5.40E-79,1,1,1,255
4,1,2,5,1,5.40E-79,1,1,1,150
5,1,2,5,1,5.40E-79,1,1,1,155
6,1,2,5,1,5.40E-79,1,1,1,155
7,1,2,5,1,5.40E-79,2,1,1,360
8,1,2,5,1,5.40E-79,4,1,1,206
9,1,2,5,1,5.40E-79,6,1,2,480
10,1,2,5,1,5.40E-79,6,27,2,1080
11,1,2,5,1,5.40E-79,6,1,2,90
1,1,2,6,1,2,1,1,1,15.75
2,1,2,6,1,2,1,1,1,71.17
3,1,2,6,1,5.40E-79,6,16,1,14
4,1,2,6,1,5.40E-79,6,1,1,45
5,1,2,6,1,5.40E-79,6,1,1,259.25
6,1,2,6,1,5.40E-79,6,16,2,20
7,1,2,6,1,5.40E-79,3,3,2,132
8,1,2,6,1,5.40E-79,3,16,2,48
9,1,2,6,1,5.40E-79,3,16,2,1
10,1,2,6,1,5.40E-79,3,16,2,390
11,1,2,6,1,5.40E-79,3,16,2,120
12,1,2,6,1,5.40E-79,7,27,1,186
1,1,2,7,1,5.40E-79,1,3,2,60
2,1,2,7,1,5.40E-79,1,1,2,507
3,1,2,7,1,12,2,1,2,120
4,1,2,7,1,12,2,1,2,5.67
5,1,2,7,1,5.40E-79,2,1,2,14
6,1,2,7,1,5.40E-79,2,1,2,180
7,1,2,7,1,5.40E-79,7,1,2,507
8,1,2,7,1,5.40E-79,6,1,2,6
9,1,2,7,1,5.40E-79,6,3,2,14
10,1,2,7,1,5.40E-79,6,3,2,115
11,1,2,7,1,5.40E-79,6,27,2,2
12,1,2,7,1,5.40E-79,7,1,2,507
13,1,2,7,1,5.40E-79,3,1,1,120
14,1,2,7,1,5.40E-79,3,1,1,507
15,1,2,7,1,5.40E-79,3,1,1,100
1,1,2,7,1,5.40E-79,9,1,1,1440
2,1,2,7,1,5.40E-79,6,1,1,255
3,1,2,7,1,5.40E-79,6,1,1,57
4,1,2,7,1,5.40E-79,2,1,1,183.38
5,1,2,7,1,5.40E-79,2,1,1,72
6,1,2,7,1,5.40E-79,2,1,1,75
7,1,2,7,1,1,6,1,1,263.5
8,1,2,7,1,1,6,1,1,2.5
9,1,2,7,1,5.40E-79,6,27,1,21
1,1,2,6,1,5,2,1,1,112
2,1,2,6,1,5,2,1,1,168
3,1,2,6,1,5,2,1,1,28
4,1,2,6,1,5,2,1,1,42
6,1,2,6,1,5.40E-79,2,1,1,507
7,1,2,6,1,5.40E-79,3,3,2,402
8,1,2,6,1,5.40E-79,3,3,2,402.5
9,1,2,6,1,5.40E-79,7,1,1,507
1,1,2,7,4,5.40E-79,9,,1,507
2,1,2,7,4,1,1,1,1,255
3,1,2,7,4,1,1,1,1,8.33
4,1,2,7,4,5.40E-79,1,1,1,127.23
5,1,2,7,4,5.40E-79,1,1,1,55
6,1,2,7,4,5.40E-79,1,1,1,55
7,1,2,7,4,1,2,1,2,255
8,1,2,7,4,1,2,1,2,8.33
9,1,2,7,4,5.40E-79,2,1,2,190.85
10,1,2,7,4,90,3,1,1,474
11,1,2,7,4,90,3,1,1,315
12,1,2,7,4,5.40E-79,3,1,1,140
13,1,2,7,4,5.40E-79,3,1,1,55
14,1,2,7,4,5.40E-79,3,1,1,20.63
15,1,2,7,4,5.40E-79,3,1,1,90
16,1,2,7,4,5.40E-79,7,1,1,90
1,1,2,5,1,2,1,1,1,22.88
2,1,2,5,1,2,1,1,1,46.88
3,1,2,5,1,2,1,1,1,11.4
4,1,2,5,1,5.40E-79,1,1,1,248
5,1,2,5,1,5.40E-79,6,1,1,15
6,1,2,5,1,5.40E-79,2,1,1,84
7,1,2,5,1,5.40E-79,2,,1,150
8,1,2,5,1,5.40E-79,2,1,1,30
9,1,2,5,1,5.40E-79,6,1,1,183
10,1,2,5,1,5.40E-79,7,1,1,183
11,1,2,5,1,12,3,1,1,60
12,1,2,5,1,12,3,1,1,17
13,1,2,5,1,5.40E-79,3,1,1,77.5
14,1,2,5,1,5.40E-79,3,,1,75
15,1,2,5,1,5.40E-79,3,1,1,61.66
16,1,2,5,1,5.40E-79,7,1,1,244
1,1,2,7,1,12,2,1,1,11.95
2,1,2,7,1,12,2,1,1,4.58
3,1,2,7,1,9,2,1,1,185
4,1,2,7,1,9,2,1,1,21
5,1,2,7,1,5.40E-79,2,1,1,83.33
7,1,2,7,1,5.40E-79,2,1,1,507
8,1,2,7,1,5.40E-79,7,27,2,435
9,1,2,7,1,5.40E-79,7,1,2,507
10,1,2,7,1,5.40E-79,6,16,2,15
11,1,2,7,1,5.40E-79,6,16,2,35
12,1,2,7,1,5.40E-79,3,3,1,248
13,1,2,7,1,11,3,3,1,320
14,1,2,7,1,11,3,3,1,18
15,1,2,7,1,11,3,3,1,78
16,1,2,7,1,11,3,3,1,9
1,4,1,2,1,5.40E-79,8,,,
2,4,1,2,1,5.40E-79,8,,,
3,4,1,2,1,5.40E-79,8,,,
4,4,1,2,1,2,1,1,1,45.6
5,4,1,2,1,2,1,1,1,3.8
6,4,1,2,1,5.40E-79,1,1,1,2.63
7,4,1,2,1,5.40E-79,7,1,1,30.4
8,4,1,2,1,5.40E-79,2,1,1,48.75
9,4,1,2,1,5.40E-79,2,1,1,14
10,4,1,2,1,5.40E-79,7,1,1,62
11,4,1,2,1,5.40E-79,7,1,1,5
12,4,1,2,1,5.40E-79,3,1,1,15.63
13,4,1,2,1,5.40E-79,3,1,1,8.44
14,4,1,2,1,5.40E-79,3,1,1,30
15,4,1,2,1,5.40E-79,3,1,1,70
1,1,2,6,1,5.40E-79,1,1,1,80
2,1,2,6,1,5.40E-79,1,,1,240
3,1,2,6,1,3,2,7,2,10
4,1,2,6,1,3,2,7,2,2.35
5,1,2,6,1,3,2,7,2,5.42
6,1,2,6,1,9,2,7,2,200
7,1,2,6,1,9,2,7,2,14.69
8,1,2,6,1,5.40E-79,2,,2,45
9,1,2,6,1,14,6,15,2,6
10,1,2,6,1,14,6,15,2,14.63
11,1,2,6,1,5.40E-79,6,,2,5
12,1,2,6,1,5.40E-79,6,16,2,24
13,1,2,6,1,5.40E-79,3,1,1,165
14,1,2,6,1,90,3,1,1,122.06
15,1,2,6,1,90,3,1,1,5
16,1,2,6,1,90,3,1,1,33.91
17,1,2,6,1,5.40E-79,3,,1,525
18,1,2,6,1,5.40E-79,7,,1,615
19,1,2,6,1,5.40E-79,7,,2,210
1,1,2,6,1,3,1,3,2,161.16
2,1,2,6,1,3,1,3,2,60
3,1,2,6,1,5.40E-79,1,3,2,16
4,1,2,6,1,5.40E-79,1,3,2,33.75
5,1,2,6,1,1,1,3,2,120
6,1,2,6,1,1,1,3,2,14
7,1,2,6,1,1,1,3,2,30
8,1,2,6,1,5.40E-79,2,3,2,45
9,1,2,6,1,5.40E-79,3,3,1,350
10,1,2,6,1,90,3,3,1,141.75
11,1,2,6,1,90,3,3,1,142.5
12,1,2,6,1,5.40E-79,6,16,1,79.17
13,1,2,6,1,5.40E-79,7,1,1,507
1,1,2,5,4,1,1,1,1,540
2,1,2,5,4,1,1,1,1,4.17
3,1,2,5,4,1,1,1,1,244
4,1,2,5,4,5.40E-79,6,1,1,126
5,1,2,5,4,5.40E-79,2,1,1,285
6,1,2,5,4,5.40E-79,2,1,1,720
7,1,2,5,4,5.40E-79,3,1,1,71.4
8,1,2,5,4,5.40E-79,3,1,1,720
9,1,2,5,4,5.40E-79,6,1,1,105
1,1,2,6,1,5.40E-79,1,1,1,165
2,1,2,6,1,3,1,1,1,33
3,1,2,6,1,3,1,1,1,4.67
4,1,2,6,1,5.40E-79,6,27,1,60
5,1,2,6,1,5.40E-79,2,3,1,160
6,1,2,6,1,5.40E-79,2,3,1,90
7,1,2,6,1,5.40E-79,2,1,1,402.5
8,1,2,6,1,5.40E-79,3,1,1,372
9,1,2,6,1,90,3,1,1,373.5
10,1,2,6,1,90,3,1,1,85
11,1,2,6,1,5.40E-79,6,1,1,57
12,1,2,6,1,5.40E-79,6,1,1,720
1,1,2,5,2,5.40E-79,11,16,1,32.5
2,1,2,5,2,5.40E-79,11,16,1,29
3,1,2,5,2,5.40E-79,11,16,1,135
4,1,2,5,2,5.40E-79,11,16,1,124
5,1,2,5,2,5.40E-79,12,16,1,263.5
6,1,2,5,2,5.40E-79,12,16,1,259.25
7,1,2,5,2,5.40E-79,12,16,1,346.38
8,1,2,5,2,5.40E-79,12,16,1,124
9,1,2,5,2,5.40E-79,12,16,1,21
10,1,2,5,2,5.40E-79,17,16,1,140
11,1,2,5,2,5.40E-79,17,16,1,360
1,1,2,6,1,1,2,1,2,255
2,1,2,6,1,1,2,1,2,15
3,1,2,6,1,1,2,1,2,1
4,1,2,6,1,5.40E-79,2,,2,255
5,1,2,6,1,5.40E-79,2,1,2,20
6,1,2,6,1,5.40E-79,2,1,2,154
7,1,2,6,1,5.40E-79,2,1,2,6
8,1,2,6,1,5.40E-79,2,1,2,72
9,1,2,6,1,5.40E-79,3,1,1,56
10,1,2,6,1,5,3,1,1,72
11,1,2,6,1,5,3,1,1,28
12,1,2,6,1,5,3,1,1,5
14,1,2,6,1,5.40E-79,3,,1,255
1,1,2,7,1,5.40E-79,8,1,1,122
2,1,2,7,1,5.40E-79,8,1,1,183
3,1,2,7,1,5.40E-79,8,1,1,0.9
4,1,2,7,1,5.40E-79,8,1,1,91.5
5,1,2,7,1,5.40E-79,8,1,1,60
6,1,2,7,1,5.40E-79,8,1,1,137.25
7,1,2,7,1,5.40E-79,8,1,1,112
8,1,2,7,1,5.40E-79,8,3,2,8
9,1,2,7,1,5.40E-79,8,1,2,183
10,1,2,7,1,1,8,1,2,93
11,1,2,7,1,1,8,,2,120
12,1,2,7,1,5.40E-79,8,1,1,183
13,1,2,7,1,9,8,1,1,125
14,1,2,7,1,9,8,1,1,14
15,1,2,7,1,5.40E-79,8,1,1,183
1,1,2,3,1,5.40E-79,9,1,1,3000
2,1,2,3,1,5.40E-79,2,1,2,126
3,1,2,3,1,5.40E-79,6,1,2,50
4,1,2,3,1,5.40E-79,1,1,1,138.25
5,1,2,3,1,12,1,1,1,40
6,1,2,3,1,12,1,1,1,17
7,1,2,3,1,1,1,1,1,360
8,1,2,3,1,1,1,1,1,50
1,1,2,6,1,5.40E-79,1,1,1,213.5
2,1,2,6,1,5.40E-79,1,1,1,113.1
3,1,2,6,1,5.40E-79,1,1,1,40
4,1,2,6,1,5.40E-79,7,,2,75
5,1,2,6,1,5.40E-79,2,1,2,129.38
6,1,2,6,1,5.40E-79,2,1,2,43
7,1,2,6,1,10,2,1,2,256
8,1,2,6,1,10,2,1,2,16.25
9,1,2,6,1,5.40E-79,2,,2,75
10,1,2,6,1,5.40E-79,6,8,2,15
11,1,2,6,1,5.40E-79,6,,2,45
12,1,2,6,1,12,3,3,2,32
13,1,2,6,1,12,3,3,2,68
14,1,2,6,1,5.40E-79,3,3,2,40
15,1,2,6,1,5.40E-79,3,3,2,106.75
16,1,2,6,1,5.40E-79,3,3,2,74.66
17,1,2,6,1,5.40E-79,6,1,1,63
18,1,2,6,1,5.40E-79,6,,1,105
1,1,2,7,1,5.40E-79,2,1,1,277.88
2,1,2,7,1,5.40E-79,2,1,1,441.95
3,1,2,7,1,5.40E-79,3,1,1,283.5
4,1,2,7,1,5.40E-79,3,16,1,325.5
1,1,2,6,1,3,1,1,1,29.63
2,1,2,6,1,3,1,1,1,50.25
3,1,2,6,1,5.40E-79,1,1,1,244
4,1,2,6,1,5.40E-79,1,1,1,124.5
5,1,2,6,1,5.40E-79,2,8,1,61.2
6,1,2,6,1,5.40E-79,2,8,1,57
7,1,2,6,1,5.40E-79,2,8,1,75
8,1,2,6,1,5.40E-79,3,1,1,79
9,1,2,6,1,90,3,1,1,74.25
10,1,2,6,1,90,3,1,1,74.25
11,1,2,6,1,5.40E-79,3,1,1,126
12,1,2,6,1,5.40E-79,3,1,1,100
13,1,2,6,1,5.40E-79,3,1,1,116.25
14,1,2,6,1,5.40E-79,3,1,1,186
15,1,2,6,1,3,3,1,1,16
16,1,2,6,1,3,3,1,1,33.5
17,1,2,6,1,6,3,1,1,128.25
18,1,2,6,1,6,3,1,1,25.13
19,1,2,6,1,5.40E-79,4,1,1,152.5
20,1,2,6,1,5.40E-79,4,1,1,140
1,1,2,5,1,5.40E-79,7,,1,345
2,1,2,5,1,5.40E-79,7,,1,345
3,1,2,5,1,11,1,1,1,324
4,1,2,5,1,11,1,1,1,6.04
5,1,2,5,1,5.40E-79,1,,1,210
6,1,2,5,1,5.40E-79,6,1,1,200
7,1,2,5,1,5.40E-79,6,1,1,71
8,1,2,5,1,5.40E-79,6,16,1,17
9,1,2,5,1,5.40E-79,6,,1,90
10,1,2,5,1,5,6,1,1,102
11,1,2,5,1,5,6,1,1,5.67
12,1,2,5,1,5,6,1,1,5
13,1,2,5,1,5,6,3,1,180
14,1,2,5,1,5,6,3,1,7.5
15,1,2,5,1,5,6,3,1,5
16,1,2,5,1,5.40E-79,6,3,1,22.5
17,1,2,5,1,5.40E-79,6,3,1,20
18,1,2,5,1,5.40E-79,6,,1,210
19,1,2,5,1,1,3,1,1,783
20,1,2,5,1,1,3,1,1,9
21,1,2,5,1,1,3,1,1,16
22,1,2,5,1,5.40E-79,7,,1,210
1,1,2,6,1,1,1,1,1,744.15
2,1,2,6,1,1,1,1,1,122
3,1,2,6,1,1,1,1,1,8.33
4,1,2,6,1,5.40E-79,6,1,2,4
5,1,2,6,1,5.40E-79,6,1,2,1
6,1,2,6,1,5,2,3,2,180
7,1,2,6,1,5,2,3,2,20
8,1,2,6,1,5,2,3,2,8
9,1,2,6,1,5.40E-79,2,3,2,372
10,1,2,6,1,5.40E-79,3,3,1,238
11,1,2,6,1,5.40E-79,3,1,1,360
12,1,2,6,1,5.40E-79,6,1,1,20
13,1,2,6,1,5.40E-79,6,1,1,360
14,1,2,6,1,5.40E-79,7,,1,240
1,1,2,7,1,5.40E-79,7,,1,1575
2,1,2,7,1,5.40E-79,1,1,1,250
3,1,2,7,1,9,1,1,1,105
4,1,2,7,1,9,1,1,1,31.72
5,1,2,7,1,5.40E-79,1,1,1,100.5
6,1,2,7,1,5.40E-79,6,1,1,90
7,1,2,7,1,5.40E-79,6,1,2,4
8,1,2,7,1,6,3,16,2,267.75
9,1,2,7,1,6,3,16,2,89.25
10,1,2,7,1,6,3,16,2,5.17
11,1,2,7,1,6,3,16,2,35
12,1,2,7,1,5.40E-79,3,16,2,126
13,1,2,7,1,5.40E-79,3,1,2,89
14,1,2,7,1,5.40E-79,3,16,2,232.5
15,1,2,7,1,5.40E-79,6,27,2,9
16,1,2,7,1,5.40E-79,6,1,2,2
1,1,2,2,1,5.40E-79,6,27,1,46
2,1,2,2,1,5.40E-79,6,1,1,359.1
3,1,2,2,1,5.40E-79,9,1,1,1521.68
4,1,2,2,1,2,1,1,1,210
5,1,2,2,1,2,1,1,1,54
6,1,2,2,1,2,1,1,1,37.5
7,1,2,2,1,2,1,1,1,3.33
8,1,2,2,1,5.40E-79,1,1,1,195
9,1,2,2,1,3,2,3,2,105
10,1,2,2,1,3,2,3,2,28
11,1,2,2,1,5.40E-79,2,3,2,333.5
12,1,2,2,1,3,6,1,1,64
13,1,2,2,1,3,6,1,1,63
14,1,2,2,1,5.40E-79,3,1,1,135
15,1,2,2,1,5.40E-79,3,1,1,161.88
16,1,2,2,1,5.40E-79,3,1,1,125
17,1,2,2,1,5.40E-79,3,1,1,241.5
1,1,2,6,1,5.40E-79,1,7,2,160
2,1,2,6,1,5.40E-79,7,1,1,720
3,1,2,6,1,5.40E-79,6,27,1,28
4,1,2,6,1,5.40E-79,6,27,1,14
5,1,2,6,1,5.40E-79,6,27,1,63.75
6,1,2,6,1,5.40E-79,6,27,1,21
7,1,2,6,1,5.40E-79,6,27,1,150
8,1,2,6,1,5.40E-79,7,27,1,1080
9,1,2,6,1,5.40E-79,7,,1,315
10,1,2,6,1,90,3,1,1,281.25
11,1,2,6,1,90,3,1,1,6.25
12,1,2,6,1,5.40E-79,3,,1,150
1,1,2,7,1,5.40E-79,7,1,1,600
2,1,2,7,1,5.40E-79,7,1,1,240
3,1,2,7,1,5.40E-79,1,1,1,200
4,1,2,7,1,3,1,1,1,72
5,1,2,7,1,3,1,1,1,9.33
6,1,2,7,1,5.40E-79,5,1,1,720
7,1,2,7,1,90,2,1,1,129.69
8,1,2,7,1,90,2,1,1,156.25
9,1,2,7,1,1,2,1,1,120
10,1,2,7,1,1,2,1,1,61
11,1,2,7,1,1,2,1,1,4.17
12,1,2,7,1,5.40E-79,6,1,1,30
13,1,2,7,1,5.40E-79,6,1,1,80
14,1,2,7,1,5.40E-79,6,1,1,12
15,1,2,7,1,5.40E-79,6,1,1,600
16,1,2,7,1,90,6,1,1,6
17,1,2,7,1,90,6,1,1,4.5
18,1,2,7,1,90,6,1,1,1.5
19,1,2,7,1,5.40E-79,6,1,1,16
20,1,2,7,1,90,3,1,1,207.38
21,1,2,7,1,90,3,1,1,122.5
22,1,2,7,1,5.40E-79,3,1,1,120
23,1,2,7,1,5.40E-79,7,1,1,720
24,1,2,7,1,5.40E-79,7,1,1,30
1,1,2,6,1,2,1,1,1,16.19
2,1,2,6,1,2,1,1,1,71.17
3,1,2,6,1,13,2,1,2,96
4,1,2,6,1,13,2,1,2,22
5,1,2,6,1,13,2,1,2,124
6,1,2,6,1,5.40E-79,2,1,2,57
7,1,2,6,1,12,6,3,2,100
8,1,2,6,1,12,6,3,2,5
9,1,2,6,1,12,6,3,2,5.67
10,1,2,6,1,9,6,3,2,45
11,1,2,6,1,9,6,3,2,5.67
12,1,2,6,1,5.40E-79,6,1,2,507
13,1,2,6,1,5.40E-79,6,1,1,40
14,1,2,6,1,2,3,1,1,67.06
15,1,2,6,1,2,3,1,1,294.85
16,1,2,6,1,5.40E-79,6,1,1,6
1,1,2,4,1,5.40E-79,2,7,2,30.56
2,1,2,4,1,5.40E-79,2,16,2,2
3,1,2,4,1,5.40E-79,2,16,2,12
4,1,2,4,1,10,2,7,2,50
5,1,2,4,1,10,2,7,2,51.66
6,1,2,4,1,10,2,7,2,41.66
7,1,2,4,1,5.40E-79,2,7,2,165
8,1,2,4,1,5.40E-79,2,7,2,157.5
9,1,2,4,1,5.40E-79,6,27,1,120
10,1,2,4,1,5.40E-79,6,1,1,507
11,1,2,4,1,4,3,2,1,58.75
12,1,2,4,1,4,3,2,1,122.5
13,1,2,4,1,4,3,2,1,90
14,1,2,4,1,4,3,2,1,35
15,1,2,4,1,4,3,2,1,20
16,1,2,4,1,5.40E-79,3,1,1,170.9
17,1,2,4,1,5.40E-79,3,27,1,120
18,1,2,4,1,5.40E-79,3,1,1,507
19,1,2,4,1,5.40E-79,6,27,1,195
1,1,2,6,1,90,2,1,1,328.13
2,1,2,6,1,90,2,1,1,21
3,1,2,6,1,5.40E-79,2,1,1,402.5
4,1,2,6,1,3,2,1,1,108
5,1,2,6,1,3,2,1,1,28
6,1,2,6,1,5.40E-79,6,3,1,50
7,1,2,6,1,5.40E-79,6,1,1,42
1,1,2,6,1,5.40E-79,7,27,1,360
2,1,2,6,1,5.40E-79,1,1,2,142
3,1,2,6,1,5.40E-79,1,1,2,53.33
4,1,2,6,1,5.40E-79,1,16,2,75
5,1,2,6,1,5.40E-79,1,,2,150
6,1,2,6,1,5.40E-79,7,5,2,124
7,1,2,6,1,5.40E-79,6,,2,240
8,1,2,6,1,5.40E-79,6,1,2,2
9,1,2,6,1,5.40E-79,6,16,2,126
10,1,2,6,1,11,2,16,2,40
11,1,2,6,1,11,2,16,2,67
12,1,2,6,1,11,2,16,2,92.5
13,1,2,6,1,11,2,16,2,7.5
14,1,2,6,1,11,2,16,2,10.21
15,1,2,6,1,12,2,16,2,67
16,1,2,6,1,12,2,16,2,2.67
17,1,2,6,1,12,2,16,2,2.45
18,1,2,6,1,9,2,16,2,170
19,1,2,6,1,9,2,16,2,10.67
20,1,2,6,1,9,2,16,2,52.5
21,1,2,6,1,9,2,16,2,5.33
22,1,2,6,1,9,2,16,2,78.75
23,1,2,6,1,9,2,16,2,2.67
24,1,2,6,1,9,2,16,2,28.34
25,1,2,6,1,9,2,16,2,40.01
26,1,2,6,1,5.40E-79,2,,2,240
27,1,2,6,1,5.40E-79,7,,2,240
28,1,2,6,1,5.40E-79,7,16,2,60
29,1,2,6,1,5.40E-79,7,,2,150
30,1,2,6,1,5.40E-79,3,5,2,140.63
31,1,2,6,1,9,3,16,2,250
32,1,2,6,1,9,3,16,2,15
33,1,2,6,1,5.40E-79,3,16,2,25
34,1,2,6,1,5.40E-79,3,16,2,45
35,1,2,6,1,5.40E-79,3,16,2,36.76
36,1,2,6,1,5.40E-79,3,16,2,50
37,1,2,6,1,5.40E-79,7,16,1,60
1,1,2,5,2,5.40E-79,9,1,1,1014
2,1,2,5,2,5.40E-79,11,1,1,150
3,1,2,5,2,5.40E-79,11,1,1,135
4,1,2,5,2,5.40E-79,11,1,1,250
5,1,2,5,2,5.40E-79,11,1,1,154
6,1,2,5,2,5.40E-79,11,1,1,45
7,1,2,5,2,5.40E-79,14,1,1,254.1
1,1,2,1,1,2,1,1,1,53.81
2,1,2,1,1,2,1,1,1,213.51
3,1,2,1,1,5.40E-79,3,3,2,805
4,1,2,1,1,5.40E-79,3,3,2,98.44
5,1,2,1,1,90,3,3,2,378
6,1,2,1,1,90,3,3,2,170.68
7,1,2,1,1,5.40E-79,3,3,2,100.5
8,1,2,1,1,5.40E-79,3,3,2,129
9,1,2,1,1,5.40E-79,3,3,2,85
10,1,2,1,1,5.40E-79,3,3,2,109.5
11,1,2,1,1,12,3,3,2,140
12,1,2,1,1,12,3,3,2,34
13,1,2,1,1,90,3,3,2,792
14,1,2,1,1,90,3,3,2,297
15,1,2,1,1,90,3,3,2,170.68
16,1,2,1,1,5.40E-79,7,,1,195
1,1,2,6,1,5.40E-79,7,,1,240
2,1,2,6,1,5.40E-79,1,1,1,70
3,1,2,6,1,5.40E-79,6,1,1,6.25
4,1,2,6,1,5.40E-79,2,3,1,200
5,1,2,6,1,9,2,3,1,145
6,1,2,6,1,9,2,3,1,17
7,1,2,6,1,5.40E-79,2,3,1,458.85
8,1,2,6,1,5.40E-79,4,3,2,92.36
9,1,2,6,1,5.40E-79,4,3,2,35
10,1,2,6,1,5.40E-79,4,3,2,72
11,1,2,6,1,5.40E-79,4,1,2,341
12,1,2,6,1,5.40E-79,4,3,2,120.07
13,1,2,6,1,5.40E-79,7,1,2,62
14,1,2,6,1,5.40E-79,7,1,2,360
15,1,2,6,1,8,6,1,2,183.75
